"coursera_id","zip_code","age_group","what_is_your_gender","what_is_your_ethnicity_and_or_race_please_select_all_that_apply","what_pronouns_do_you_use","employment_status","what_is_you_approximate_monthly_income","which_certificate_s_are_you_most_interested_in","after_completion_of_the_course_which_wrap_around_supports_will_you_need","are_you_able_to_commit_10_15_hours_per_week_for_this_training","your_google_scholarship_gives_you_6_months_to_complete_your_certification_s_are_you_willing_to_commit_to_the_successful_completion_of_your_certification_s_within_this_time_constraint","this_training_is_online_please_rate_your_personal_computer_skills","are_you_a_veteran_of_the_united_states_armed_forces"
"46a975cfeb2361716781308118e2d2e8","48045","35-44","""Male""","""Black or African American""","""He/his""",NA,"0","""Cybersecurity, IT Support""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes",NA,NA
"525b16d3f0fd529d077a8afb7b710923","45694","25-34","""Male""","""White / Caucasian""","""He/his""",NA,"500.00","""Cybersecurity, IT Support, UX (User Experience) Design""","""No, I don't need additional services""","Yes","Yes",NA,NA
"46a04eabd9d70aa53206b3bad77c14e7","49682","18-24","""Male""","""White / Caucasian""","""He/his""",NA,"0","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes","All",NA
"0230ddaa66ce61cb610bc75fb470fdba","49684","35-44","""Female""","""White / Caucasian""","""She/her""",NA,"1200.00","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes",NA,NA
"3661eea8522ccc6c7eaf4afb9eb5c3c5","49619","18-24","""Female""","""White / Caucasian""","""She/her""",NA,"1600","""Data Analytics""","""Referrals to job opportunities, Information about other training programs, No, I don't need additional services""","Yes","Yes",NA,NA
"d4434256b60b8684563a2d51f7231fc2","49686","25-34","""Female""","""Asian or Pacific Islander, White / Caucasian""","""She/her""","Full-time","75000","""Data Analytics""","""No, I don't need additional services""","Yes","Yes",NA,NA
"a4e219028a5dcdc9fb6dc567b33da291","49684","55+","""Male""","""White / Caucasian""","""He/his""",NA,"$1500","""Data Analytics, Cybersecurity""","""Referrals to job opportunities""","Yes","Yes",NA,NA
"d7883557a05dace1a88fa9f8d2dc2123","49696","Unknown","""Male""","""White / Caucasian""","""He/his""","Full-time","$2,500","""UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes","All",NA
"69e91fe10556619da4a5f790d6943b30","49674","25-34","""Male""","""Black or African American""","""He/his""",NA,"2000","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""No, I don't need additional services""","Yes","Yes",NA,NA
"570288041aff61f0ba2ba88cb2916795","49685","35-44","""Female""","""White / Caucasian""","""She/her""",NA,NA,NA,NA,NA,NA,NA,NA
"d0dc8c7db6e4931f184ba6f8882707ac","40503","18-24","""Female""","""Black or African American""","""She/her""",NA,NA,NA,NA,NA,NA,NA,NA
"1cfa6f92092550615fce099eff6eb70b","49685","35-44","""Female""","""White / Caucasian""","""She/her""","Full-time","3,500","""Data Analytics, Project Management, UX (User Experience) Design""","""No, I don't need additional services""","Yes","Yes",NA,NA
"ba45e01c71ad1cad2602527bda2a248a","49659","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"$1500","""Cybersecurity, IT Support""","""Referrals to job opportunities""","Yes","Yes",NA,NA
"a1d46f5ed7b2158805383ff21773efcd","49686","25-34","""Female""","""White / Caucasian""","""She/her""","Full-time","2,400","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes","All",NA
"4f1a31beef316f972a4cd2cc131718a2","49686","25-34","""Female""","""White / Caucasian""","""She/her""","Full-time","5000","""Data Analytics, Project Management""","""Referrals to job opportunities, Resume assistance""","Yes","Yes",NA,NA
"5a80b60cb3f5be42c6be8fa4855943b6",NA,"Unknown","""Male""","""White / Caucasian""","""He/his""",NA,"0","""Cybersecurity, IT Support""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes",NA,NA
